ID,Price,posibility,magnification
int,float,float,float
1.1.1,174,52.14,0.75
1.1.2,,27.69,0.88
1.1.3,,15.04,1
1.1.4,,4.54,3.75
1.1.5,,0.6,7.5
2.1.1,835.2,54.06,18.75
2.1.2,,27.48,21.88
2.1.3,,14.12,25
2.1.4,,3.61,109.4
2.1.5,,0.73,187.5
3.1.1,32572.8,53.12,50.25
3.1.2,,28.05,58.63
3.1.3,,14.56,67
3.1.4,,3.52,293.15
3.1.5,,0.75,502.5
4.1.1,339091.2,54.27,200.25
4.1.2,,27.41,233.63
4.1.3,,13.83,267
4.1.4,,3.91,1168.15
4.1.5,,0.58,2002.5
5.1.1,90791808,54.06,800.25
5.1.2,,27.35,933.63
5.1.3,,14.24,1067
5.1.4,,3.62,4668.15
5.1.5,,0.72,8002.5
6.1.1,757604352,54.04,3200.25
6.1.2,,27.49,3733.63
6.1.3,,14.13,4267
6.1.4,,3.6,18668.15
6.1.5,,0.74,32002.5
7.1.1,6266405376,54.01,12800.25
7.1.2,,27.61,14933.63
7.1.3,,14.12,17067
7.1.4,,3.42,74668.15
7.1.5,,0.83,128002.5
8.1.1,53203799040,32.51,51200.25
8.1.2,,32.51,59733.63
8.1.3,,32.51,68267
8.1.4,,1.23,298668.15
8.1.5,,1.23,512002.5
9.1.1,2488700000000,54.26,94523.25
9.1.2,,27.63,110277.13
9.1.3,,13.88,126031
9.1.4,,3.37,551385.65
9.1.5,,0.87,945232.5
